July,,,,
17th,Tuesday,"VSAE Repertoire Selection, Registration & $$$ Due Online by 11:59p.  Exam credit granted for taking a solo to VSAE.",11:59p,www.aveschoir.org
,,,,
December,,,,
9th-13th,Wednesday-Sunday,*SHOULD AN INVITE BE EXTENDED* Select Ensemble Only: Performance @ Pops,,
9th,Wednesday,*SHOULD AN INVITE BE EXTENDED* Select: Rehearsal with Cincinnati Pops,3:45p Call to HS | 5p - 9p rehearsal | Return 9:30p to SHS | Dinner provided.,"Music Hall, downtown Cincinnati"
10th ,Thursday,*SHOULD AN INVITE BE EXTENDED* Select: Rehearsal with Cincinnati Pops,5:00p Call to HS | No Dinner Provided | 6p - 10p rehearsal | 10:30 Return to SHS,"Music Hall, downtown Cincinnati"
11th,Friday,*SHOULD AN INVITE BE EXTENDED* Select: Performance #1 (11:05a),9:15a Call to SHS Choir Rm | 10a rehearsal @ Music Hall | 11:05 Performance | 1:30p Return to HS,"Music Hall, downtown Cincinnati"
11th,Friday,*SHOULD AN INVITE BE EXTENDED* Select: Performance #2 (7:35p),5:15p Call to SHS Choir Rm | No Dinner Provided | 6:30p Rehearsal @ Music Hall | 7:35 Performance | 10p Return to HS,"Music Hall, downtown Cincinnati"
12th,Saturday,*SHOULD AN INVITE BE EXTENDED* Select: Performance #3 (2:05p) | Performance #4 (7:35p),12:15p Call to SHS Choir Rm | 1:00 - 1:45 Rehearsal @ Music Hall | 2:05 Performance | Dinner Provided On Site | 6:30 - 7:15p Rehearsal @ Music Hall | 7:35p Performance | 10:05p Return to HS,"Music Hall, downtown Cincinnati"
13th,Sunday,*SHOULD AN INVITE BE EXTENDED* Select: Performance #5 (2:05p) | Performance #6 (7:00p),12:15p Call to SHS Choir Room | 1:00p-1:45p Rehearsal | 2:05 Performance | Dinner Provided On Site | 9:35p Return to SHS,"Music Hall, downtown Cincinnati"
17th,Thursday,"Octaviation Green and Gold, SSC, GR Machine: School performances | Theatre Rehearsal After School (Octas Report to theatre after tour concludes [4p])","9:30a Departure, after exams","BA, MD, MT, SY, GR"
,,,,
"January, 2027",,,,
12th,Tuesday,"Octas report to Theatre (No OctaGold rehearsal, rescheduled to Thursday)",,
14th,Thursday,Octaviation Gold: Freshman Camp.  Normal performance attire. Sound Support. Video the performance for YouTube.,Eat first lunch | Report to choir room to warmup get sound system setup during Lunch B | Perform for 8th Graders in Auditorium During Lunch C and part of 6th Bell | Report at 1:15p for 6th bell ,Choir Room / Auditorium
14th,Thursday,"Octaviation Gold, Green & White: Academic Fair. Normal performance attire.  Sound support",Gold Called 2:30p-4:30p to rehearse and set up | Green and White called at 5p | Groups perform on rotation until 6:30p,Commons / Choir Room
15th,Friday,Mandatory VSAE Brush Up Rehearsal for Ms. Chi's students | Mrs. Tan's Students | Dr. Galyon's Students | Winter Show Students Go First,2:30 - 3:30,"Choir Room, Orchestra Room, and Practice room"
16th,Saturday,Vocal Solo Adjudicated Event @ Sycamore High School | Winter Show Students Go First | Winter Show Late AM and/or PM rehearsal,8a - 12:30p,"Choir Room, Ochestra Room and Band Room"
19th,Tuesday,Octaviation Members in Winter Show report to Winter Show,,
25th,Monday,Sycamore Vocal Boosters Association Meeting,6:00 PM,Choir Room
29th,Friday,Cabaret Auditions | Improv Students Go First,2:30 PM - 4:30 PM,
,,,,
February,,,,
1st-5th,Monday-Friday,Cabaret Acts Rehearse w/ Mrs. Tan during Choir Classes,,
4th,Thursday,"Octaviation Green, White, and Gold to JH (no bussing - Sycamore transportation does not provide a bus for trips departing before 9:15 a.m and returning after 1:30 p.m. / Octa shirts on top, black on bottom, and comfy shoes)",All Octas to JH @ 8:00a | Released from JH at 3:10 p.m.,Sycamore Junior High School
5th,Friday,Cabaret Setup: Sound Only Called,2:30 PM - 4:00 PM,The Hub
5th,Friday,Cabaret Set Up: All Performers Called,4:00 PM - 5:30 PM,The Hub
5th,Friday,Cabaret Walk Through: All Performers Called,5:30 PM - 7:15 PM,The Hub
6th,Saturday,Cabaret Dress Rehearsal: Act I only called,2:30 PM - 4:30 PM,The Hub
6th,Saturday,Cabaret Dress Rehearsal: Act II only called,4:15 PM - 6:15 PM,The Hub
6th,Saturday,Cabaret Cast Picture on the stage,6:15 PM,The Hub
6th,Saturday,Cabaret,6:30 PM House | 7:00 PM Show | Strike follows directly for all performers.  Done around 9:45p-10p.,The Hub
10th & 11th,Weds. & Thurs.,JH Belle Voci Auditions | Choir Placements,,
12th,Friday,Fashion for the Cure,,Auditorium
12th & 13th,Friday & Saturday,Octaviation Green and Gold to Nordonia AcaFest,,"Nordonia High School, Berea, Ohio"
22nd,Monday,Sycamore Vocal Boosters Association Meeting (nominating committee convenes!),6:00 PM,Choir Room
23rd,Tuesday,ACT Test,,
23rd,Tuesday,Fine Arts/Competition Concert Setup,During Classes,Auditorium
24th,Wednesday,Required Aves Bell Rehearsal,Aves Bell,Auditorium
24th,Wednesday,Fine Arts/Competition Concert Dress Rehearsal: All Choirs,2:30 – 5:30 pm,Auditorium
25th,Thursday,Required Aves Bell Rehearsal,Aves Bell,Auditorium
25th,Thursday,Fine Arts/Competition Concert: All Choirs,5:00 PM Call for students | 6:30 PM Doors | 7:00 PM Start,Auditorium
26th,Friday,Choirs Strike Risers,During Classes,Auditorium
27th,Saturday,University of Cincinnati College-Conservatory of Music Choral Invitational,9a - 5p,University of Cincinnati
27th,Saturday,Odd Couples Ball,,
,,,,
March,,,,
1st,Monday,BV & Select Performance Attire Return,During Class,Choir Room
1st - 10th,Monday - Weds.,Curricular Groups Auditions for next school year,During Class | Aves Bell,Choir Room
3rd & 4th,Wednesday & Thurs.,Select and Belle: Conducting Workshops,During Class,
4th & 5th,Thurs. & Fri.,Select: Student Conductor Tempo Auditions & Conductor Interviews,During Aves Bell,Choir Room
5th & 8th,Friday & Mon.,Select: Student Conductor In-Class Auditions,During Class,Choir Room
10th,Wednesday,Vocal Booster Scholarship Info Presentations,All Classes,Choir Room
,,Vocal Booster Scholarship Info Available In Aves Choir Canvas Course,,
22nd,Monday,Sycamore Vocal Boosters Association Meeting (Slate presented | Summer Bash Team Est.),6:00 PM,Choir Room
25th,Thursday,"Seniors: Senior, Elementary, and Baby Pics Due",11:59 PM,AvesChoir.org
25th,Thursday,Vocal Booster Scholarship Form Due,11:59 PM,Canvas
,,,,
April,,,,
10th,Saturday,Prom,,
13th,Tuesday,Octaviation | Musical Crossovers report to Octaviation,,Choir Room
20th,Tuesday,Octas Report to Musical,,
22nd-24th,Thursday-Saturday,Spring Musical,,
26th,Monday,Sycamore Vocal Boosters Association Meeting (Slate voting),6:00 PM,Choir Room
28th,Wednesday,"Choral Program Juniors (next year's seniors!) 5-12 Choral Program Summer Bash Planning Session: Date, activities, food w/ Boosters | Coordinate date w/ JH & GR",2:30 PM - 3:30 PM,Choir Room
29th,Thursday,"Choral Program Juniors (next year's seniors!) Summer Bash Finalization: who's bringing what, calling party, timeline w/ Boosters | Rising Seniors nominate three current freshmen to bring incoming freshmen",2:30 PM - 3:30 PM,Choir Room
30th,Friday,"Choral Program Juniors (next year's seniors!) Summer Bash Finalization: final details w/ Boosters, Evite creation and scheduling | Save a Date Postcard",2:30 PM - 3:30 PM,Choir Room
30th,Friday,Risers to Auditorium | Setup for Spring Concert,,
,,,,
,,,,
May,,,,
3rd,Monday,JH Octaviation Audition Class time Preparation (Mr. Hadwick @ JH),All Day ,JH Choir Room
3rd & 4th,Monday & Tuesday,Required Aves Bell Rehearsals,Aves Bell,Auditorium
3rd,Monday,Spring Concert Dress Rehearsal: All Choirs,2:30 – 5:30 pm,Auditorium
4th,Tuesday,Octaviation Audition Workshop @ JH,3:15p - 4:00p,JH Choir Room
4th,Tuesday,Spring Concert & Awards Night: All Choirs,5:00 PM Call for students | 6:30 PM Doors | 7:00 PM Start,Auditorium
5th,Wednesday,2027-28 HS Octaviation Auditions (Holdt & Hadwick),2:30p - 5:30p,Choir Room
6th,Thursday,JH Octaviation Auditions (Hadwick @ JH),All day ,JH Choir Room
7th,Friday,Choral Explosion,"5:00p call time | doors open at 6:30p, show starts at 7p",JH Auditorium
7th,Friday,2027-2028 Curricular Ensemble & Octaviation Posting ,10:00 PM,All choral program Canvas Classrooms
10th,Monday,2027-28 Ensemble Fittings,During Classes,Choir Room
10th?,Monday,2027-28 Octaviation New and Returning Student-Parent Info Meeting (required),7:00 PM,Choir Room
11th,Tuesday,2027-28 Octaviation Gold Song Selection Day | Choreographers Identified | Soloist Audition Videos due June 20. Soloists due from Holdt by June 30.,2:30 PM - 4:30 PM,Choir Room
17th,Monday,Sycamore Vocal Boosters Association Meeting (New Board Installation),6:00 PM,Choir Room
20th,Thursday,Choral Program Juniors (next year's seniors!) Summer Bash Finalization: quick touch base on all things to discuss next steps,11:05a-12:00p,Choir Room
23rd,Sunday,Select Ensemble and All Choral Program Seniors Sing @ Graduation,10:30 am call - 3:30 pm return (1p Graduation start),Non-Seniors Meet in SHS Choir Room
,,"Alma Mater, Song of Farewell (Mrs. Tan & Mr. Holdt)",,then ride bus together to Xavier Cintas Center
,,,,
July,,,,
17th,Saturday,"*SHOULD AN INVITE BE EXTENDED* Octaviation White, Green, and Gold sing @ Bastille Day in downtown Montgomery",Student Call Time 2:30 | 5:00-6:30pm Performance,"Corner of Montgomery Rd. and Cooper Rd., Montgomery, OH 45242"
